slug,name,district,official_url,instagram_url,address_if_real,latitude,longitude,source_url,source_type,status,note
serenity-eco-guesthouse-yoga-canggu,Serenity Eco Guesthouse & Yoga,canggu,https://www.serenitybali.com/,https://www.instagram.com/serenitybali/,,,,,,,
seseh-general-store,Seseh General Store,canggu,https://www.sesehgeneralstore.com/,https://www.instagram.com/sesehgeneralstore/,,,,,,,
shelter-restaurant,Shelter Restaurant,canggu,https://www.shelterbali.com/,https://www.instagram.com/shelter.pererenan/,,,,,,,
shichirin-japanese-restaurant-canggu,Shichirin Japanese Restaurant — Canggu,canggu,http://thewonderspace.com/shichirincanggu/,https://www.instagram.com/shichirincanggu/,,,,,,,
skool-kitchen,SKOOL Kitchen,canggu,,https://www.instagram.com/skoolkitchen/,,,,,,,
soma-fight-club-canggu,SOMA Fight Club,canggu,https://somafightclub.com/,https://www.instagram.com/somafightclub/,,,,,,,
spring-spa-canggu,Spring Spa Canggu,canggu,https://springspa.com/,,,,,,,,
surya-fitness-gym,Surya Fitness Gym,canggu,https://www.suryagymbali.com/,https://www.instagram.com/suryagymbali/,,,,,,,
sushimi-bali,Sushimi Bali,canggu,http://www.sushimibali.com/,https://www.instagram.com/sushimibali/,,,,,,,
swarna-spa-and-wellness,Swarna Spa and Wellness,canggu,https://swarnaspa.com/,https://www.instagram.com/swarnaspaandwellness/,,,,,,,
the-avocado-factory,The Avocado Factory,canggu,https://theavocadofactory.com/,https://www.instagram.com/theavocadofactory/,Jl. Pantai Batu Mejan;  Canggu;  Kuta Utara;  Badung;  Bali 80351;  Indonesia,,,,,,
the-canggu-studio-canggu,The Canggu Studio,canggu,https://thecanggustudio.com/,https://www.instagram.com/thecanggustudio/,,,,,,,
the-free-bird-studio,The Free Bird Studio,canggu,https://thefreebirdstudio.com/,https://www.instagram.com/the_free_bird_studio/,,,,,,,
the-practice-bali-canggu,The Practice Bali,canggu,https://thepracticebali.com/,https://www.instagram.com/thepracticebaliyoga/,,,,,,,
the-slow,The Slow,canggu,,https://www.instagram.com/the.slow/,,,,,,,
therapy-canggu-canggu,Therapy Canggu,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali/,,,,,,,
therapy-day-spa-pererenan,Therapy Day Spa Pererenan,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali/,,,,,,,
therapy-hair-spa-canggu-canggu,Therapy Hair & Spa Canggu,canggu,https://therapy.co.id/,https://www.instagram.com/therapy.bali,,,,,,,
think-pink-nails-canggu-canggu,Think Pink Nails Canggu,canggu,https://www.thinkpinksalon.com/,https://www.instagram.com/thinkpink.salon/,,,,,,,
tonic-day-spa-botanicals-canggu,Tonic Day Spa & Botanicals,canggu,https://tonic.co.id/,https://www.instagram.com/tonic.bali/,,,,,,,
top-gym,Top Gym,canggu,https://topgym.id/canggu,https://www.instagram.com/topgym.bali/,,,,,,,
touche-cafe-and-restaurant,Touché Cafe & Restaurant,canggu,,https://www.instagram.com/touche.bali/,,,,,,,
tropical-nomad,Tropical Nomad,canggu,https://tropical-nomad-coworking-space.webflow.io/,https://www.instagram.com/tropicalnomadcanggu/,,,,,,,
tugu-tennis-court,Tugu Tennis Court,canggu,,https://www.instagram.com/popular/tugu-tennis-court/,,,,,,,
two-face-canggu,TWO FACE Canggu,canggu,https://www.twofacebali.com/two-face-canggu,https://www.instagram.com/twofacecoffee/,,,,,,,
udara-bali,Udara Bali,canggu,https://www.udara-bali.com/dining/,https://www.instagram.com/udarabali/,,,,,,,
udara-bali-yoga-detox-and-spa-organic-ocean,Udara Bali Yoga Detox & Spa / Organic Ocean,canggu,https://www.udara-bali.com/,https://www.instagram.com/udarabali/,,,,,,,
victory-fitness-club,Victory Fitness Club,canggu,,https://www.instagram.com/victoryfitnessclub/,,,,,,,
wanderlust-fitness-village-canggu,Wanderlust Fitness Village,canggu,https://wanderlustfitnessvillage.com/,https://www.instagram.com/wanderlustfitnessvillage_bali/,,,,,,,
babi-guling-swari,Warung Babi Guling Swari,canggu,,https://www.instagram.com/babigulingswari/,,,,,,,
warung-bu-mi,Warung Bu Mi,canggu,https://warungbumi.shop/,https://instagram.com/warungbumicanggu,,,,,,,
warung-jawa-bu-sri,Warung Jawa Bu Sri,canggu,,https://www.instagram.com/warungjawabusricanggu/,,,,,,,
warung-local,Warung Local,canggu,,https://www.instagram.com/warunglocal/,,,,,,,
warung-nonii,Warung Nonii,canggu,,https://www.instagram.com/waroengnonii/,,,,,,,
warung-sika,Warung Sika,canggu,https://warungsika.biz.id/,https://www.instagram.com/warung_sika/,,,,,,,
warung-varuna,Warung Varuna,canggu,,https://www.instagram.com/warungvaruna/,,,,,,,
warung-yess,Warung Yess,canggu,https://www.warungyess.com/,https://www.instagram.com/warungyess/,,,,,,,
watercress-berawa,Watercress Berawa,canggu,https://watercressbali.com/,https://www.instagram.com/watercressbali/,,,,,,,
wohl-cafe,WOHL Cafe,canggu,,https://www.instagram.com/wohlcafe/,,,,,,,
woods-bali,Woods Bali,canggu,https://woodsbali.com/,https://www.instagram.com/woodsbali/,,,,,,,
workmates-coworking-space-and-cafe,Workmates Coworking Space & Cafe,canggu,https://thewonderspace.com/workmatescanggu/,,,,,,,,
wrong-gym-pererenan,Wrong Gym Pererenan,canggu,https://wronggym.com/,https://www.instagram.com/thewronggym/,,,,,,,
xo-rooftop,XO ROOFTOP,canggu,,https://www.instagram.com/xo.rooftop/,,,,,,,
yuki-canggu,YUKI Canggu,canggu,https://www.yuki-bali.com/canggu,https://www.instagram.com/yukibali_/,,,,,,,
zin-cafe-canggu,ZIN Cafe Canggu,canggu,https://zin.world/zin-cafe/,https://www.instagram.com/zin_cafe/,,,,,,,
alchemy,Alchemy,ubud,https://www.alchemybali.com/,https://www.instagram.com/alchemybali/,,,,,,,
alchemy-yoga-meditation-center,Alchemy Yoga & Meditation Center,ubud,https://www.alchemyyogacenter.com/,https://www.instagram.com/alchemyyogaubud/,Jl. Penestanan Kelod No. 75;  Penestanan;  Ubud;  Gianyar 80571,,,,,,
alchemy-yoga-and-meditation-center-ubud,Alchemy Yoga and Meditation Center,ubud,https://alchemyyogacenter.com/,https://www.instagram.com/alchemyyogaubud/,,,,,,,
ankhusa-restaurant-ubud-by-wonderspace,Ankhusa Restaurant Ubud by Wonderspace,ubud,http://thewonderspace.com/ankhusabali/,https://www.instagram.com/ankhusabali/,,,,,,,
aperitif-restaurant,Apéritif Restaurant,ubud,https://www.aperitif.com/,https://www.instagram.com/aperitifbali/,Br. Nagi;  Jl. Lanyahan;  Petulu;  Kecamatan Ubud;  Kabupaten Gianyar;  Bali 80571;  Indonesia,,,,,,
bali-bohemia,Bali Bohemia,ubud,https://balibohemia.com/restaurant,https://www.instagram.com/rotibohemia/,,,,,,,
bali-botanica-spa,Bali Botanica by Oneworld Ayurveda,ubud,https://balibotanica.com/,https://www.instagram.com/balibotanicadayspa/,Jl. Raya Sanggingan;  Kedewatan;  Ubud,,,,,,
bebek-bengil,Bebek Bengil,ubud,https://www.bebekbengil.co.id/en,https://www.instagram.com/bebekbengilrestaurant/,,,,,,,
big-dragon-villas-ubud,Big Dragon Villas Ubud,ubud,https://bigdragonvillasubud.com/,https://www.instagram.com/bigdragonvillasubud/,,,,,,,
brie-restaurant-and-cheesery,Brie Restaurant & Cheesery,ubud,https://brie.chaika.team/,https://www.instagram.com/brie.bali/,,,,,,,
cantika-zest,Cantika Zest,ubud,http://www.cantikazestbali.com/,https://www.instagram.com/cantikazestspa/,Jl. Raya Katik Lantang;  Penestanan Kelod;  Ubud,,,,,,
cantina-classe-ubud,Cantina Classe — Ubud,ubud,https://thewonderspace.com/cantinaubud/,https://www.instagram.com/cantinaclasse/,,,,,,,
casa-luna,Casa Luna,ubud,https://casalunabali.com/,https://www.instagram.com/casalunabali/,,,,,,,
cascades,CasCades,ubud,https://www.cascadesbali.com/,https://www.instagram.com/cascadesbali/,,,,,,,
chupacabras,Chupacabras,ubud,https://www.chupacabrasbali.com/,https://www.instagram.com/chupacabrasbali/,,,,,,,
coco-nails-ubud,Coco Nails Ubud,ubud,,,,,,,,,
como-shambhala-at-como-uma-ubud-yoga-ubud,COMO Shambhala at COMO Uma Ubud Yoga,ubud,https://www.comohotels.com/bali/como-uma-ubud,https://www.instagram.com/comoumaubud/,,,,,,,
