priority,slug,name,district,official_url,instagram_url,gmaps_short_link,street_address,area_note,latitude,longitude,source_url,source_type,status,note
1,milk-and-madu-beach-road,Milk & Madu Beach Road,canggu,https://milkandmadu.com/,,https://maps.app.goo.gl/meBFhZxCPeFSduT3A,,Canggu / Batu Bolong,,,,,,
1,milk-and-madu-berawa,Milk & Madu Berawa,canggu,https://milkandmadu.com/,https://instagram.com/milkandmadu,https://maps.app.goo.gl/6CZNVmn3fjT8GJ1X9,,Berawa / Tegal Gundul,,,,,,
1,mission-flow-studio,Mission Flow Studio,canggu,https://missionflowstudio.com/,https://www.instagram.com/missionflowstudio/,,,Badung / Pererenan,,,,,,
1,motion-cafe,Motion Cafe,canggu,https://www.motionfitnessbali.com/,https://www.instagram.com/motionfitnessfoods/,https://maps.app.goo.gl/cyVUJzzikQNpW3Rs6,,Canggu/Berawa,,,,,,
1,neighbourhood-food-berawa,Neighbourhood Food Berawa,canggu,https://www.neighbourhoodfood.co/,https://www.instagram.com/neighbourhoodbali/,https://maps.app.goo.gl/E4gtpbFjZhLzBZ416,,Tibubeneng / Canggu / Berawa near Finns,,,,,,
1,neighbourhood-food-seseh,Neighbourhood Food Seseh,canggu,https://www.neighbourhoodfood.co/,https://www.instagram.com/neighbourhoodbali/,https://maps.app.goo.gl/X34by5F1v9b2WgXu7,,Seseh / Cemagi / Mengwi / Seseh,,,,,,
1,nirvana-life-bali-canggu,Nirvana Life Bali,canggu,https://nirvanalife.com/bali,https://www.instagram.com/nirvanalifebali/,,,Berawa / Canggu,,,,,,
1,nirvana-strength-tibubeneng,Nirvana Strength Tibubeneng,canggu,https://nirvanalife.com/bali/,https://www.instagram.com/nirvanalifebali/,,,,,,,,,
1,nude-berawa,NÜDE Berawa,canggu,https://nude-bali.com/locations/berawa/,https://www.instagram.com/nudebali/,,,Tibubeneng / Canggu / Berawa,,,,,,
1,obsidian-gym-bali-canggu,Obsidian Gym Bali,canggu,https://obsidian-bali.com,https://www.instagram.com/obsidian.bali/,,,Canggu,,,,,,
1,only-nails-pererenan,Only Nails Pererenan,canggu,https://onlynailsbali.com/,https://www.instagram.com/onlynailsbali/,,,Badung / Pererenan,,,,,,
1,paed-thai-canggu,Paed Thai — Canggu,canggu,http://thewonderspace.com/paedthaicanggu/,https://www.instagram.com/paedthai/,,"Jl. Canggu Padang Linjong No.8A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,pizza-fabbrica,Pizza Fabbrica,canggu,https://pizzafabbricabali.com/,https://www.instagram.com/pizzafabbricabali/,,,Canggu/Batu Bolong/Berawa,,,,,,
1,poule-de-luxe-bali,Poule de Luxe Bali,canggu,https://www.pouledeluxe.fr/,https://www.instagram.com/pouledeluxebali/,,,Kerobokan / Seminyak edge / Batu Belig,,,,,,
1,prana-padel,Prana Padel,canggu,https://app.playtomic.com/tenant/4b52e8ac-646c-4e33-998e-57b0633948f5,,,,,,,,,,
1,pranava-yoga,Pranava Yoga,canggu,https://www.matrabali.com/pranava-yoga,https://www.instagram.com/yoga_pranava/,,,,,,,,,
1,rite-bali,Rite Bali,canggu,https://ritebali.com/,https://www.instagram.com/rite.bali/,,,Badung / Pererenan,,,,,,
1,rite-bali-recovery-canggu,RITE Bali Recovery,canggu,https://ritebali.com/,https://www.instagram.com/rite.bali/,,,Pererenan,,,,,,
1,rite-bali-yoga-canggu,RITE Bali Yoga,canggu,https://ritebali.com/,https://www.instagram.com/rite.bali/,,,Pererenan,,,,,,
1,riviera-bistro-berawa,Riviera Bistro Berawa,canggu,https://rivieragroupbali.com/riviera-bistro/,https://www.instagram.com/rivierabistro.berawa/,,,Tibubeneng / Canggu / Berawa,,,,,,
1,riviera-cafe-cemagi,Riviera Cafe Cemagi,canggu,https://rivieragroupbali.com/riviera-cafe/,https://www.instagram.com/rivieracafe.cemagi/,,,Cemagi / Mengwi / Cemagi,,,,,,
1,riviera-trattoria-pererenan,Riviera Trattoria Pererenan,canggu,https://rivieragroupbali.com/riviera-trattoria/,https://www.instagram.com/riviera.pererenan/,,,Pererenan / Mengwi / Pererenan north,,,,,,
1,rize-cafe,Rize Cafe,canggu,https://rize-bali.com/,https://www.instagram.com/rize.bali/,https://maps.app.goo.gl/zff45NQwJHxg8CTB8,,Badung / Pererenan,,,,,,
1,s2s-crossfit,S2S Crossfit,canggu,https://s2scrossfit.com/,https://www.instagram.com/s2scrossfit_bali/,,,,,,,,,
1,samadi-bali,Samadi Bali,canggu,https://samadibali.com/,https://www.instagram.com/samadiyogacanggu/,,,Canggu/Berawa,,,,,,
1,saya-club,Saya Club,canggu,https://sayaclub.com/,,,,,,,,,,
1,seabird-bistro-and-coworking-canggu-by-wonderspace,Seabird Bistro & Coworking Canggu by Wonderspace,canggu,https://thewonderspace.com/seabirdcanggu/,,,"Jl. Nelayan No.888B, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,,,,,,
1,secret-spot-bali,Secret Spot,canggu,https://www.instagram.com/secretspot.bali/,https://www.instagram.com/secretspot.bali/,,"Jl. Tanah Barak No. 7, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",,,,,,,
1,sensorium-bali,Sensorium Bali,canggu,https://sensoriumbali.co.id/,https://www.instagram.com/sensorium_bali/,,,Pererenan / Canggu edge / Pererenan / Batu Mejan,,,,,,
