slug,name,category,district,address,official_url,instagram_url,what_to_order_existing,cuisine_verbatim,description_verbatim,menu_highlights,price_range_idr,opening_hours_verbatim,closed_days,source_url,checked_at,notes
seabird-bistro-and-coworking-canggu-by-wonderspace,Seabird Bistro & Coworking Canggu by Wonderspace,restaurant,canggu,"Jl. Nelayan No.888B, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://thewonderspace.com/seabirdcanggu/,,,,,,,,,,,
shichirin-japanese-restaurant-canggu,Shichirin Japanese Restaurant — Canggu,restaurant,canggu,"Jl. Pemelisan Agung Pantai Berawa no.88, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://thewonderspace.com/shichirincanggu/,https://www.instagram.com/shichirincanggu/,,,,,,,,,,
wohl-cafe,WOHL Cafe,cafe,canggu,"Jl. Sempol No.26, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",,https://www.instagram.com/wohlcafe/,,,,,,,,,,
workmates-coworking-space-and-cafe,Workmates Coworking Space & Cafe,cafe,canggu,"Gg. Bonton No.8A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80363, Indonesia",https://thewonderspace.com/workmatescanggu/,,,,,,,,,,,
xo-rooftop,XO ROOFTOP,restaurant,canggu,"Jl. Kayu Tulang Teratai Grand Village No.B1, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/xo.rooftop/,,,,,,,,,,
de-maison-bali-restaurant-and-bar,De Maison Bali Restaurant & Bar,restaurant,denpasar,"Jl. Tukad Badung No.166C, Renon, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",,https://www.instagram.com/demaisonbali/,,,,,,,,,,
camino-resto-and-bar,Camino Resto & Bar,restaurant,jimbaran,"Jl. Uluwatu II No.108X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://caminobali.com/,https://www.instagram.com/camino.bali/,,,,,,,,,,
mapogu-coffee-and-eatery-mapogu-restaurant,Mapogu Coffee & Eatery Mapogu Restaurant,cafe,jimbaran,"Jl. Goa Gong No.88x, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://mapogu.com/,https://www.instagram.com/mapogubali/,,,,,,,,,,
secret-garden-restaurant,Secret Garden Restaurant,restaurant,lovina,"Jl. Pura Dalem Jalan Raya Lovina-Singaraja, Anturan, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia",,https://www.instagram.com/secretgarden3456/,,,,,,,,,,
the-little-hill-terrace,The Little Hill Terrace,restaurant,munduk,"Dusun Munduk Langki, inside The Little Hill Suites, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",http://www.thelittlehillterrace.com/,https://www.instagram.com/thelittlehillterrace/,,,,,,,,,,
the-northview-bali-ngiring-ngewedang-restaurant-and-coffee-c,The Northview Bali – Ngiring Ngewedang Restaurant & Coffee Corner,cafe,munduk,"Tamblingan, Munduk Buleleng, Kec. Banjar, Bali, 81152, Indonesia",http://www.ngiringngewedang.com/,https://www.instagram.com/thenorthviewbali/,,,,,,,,,,
brook-nusa-dua,BROOK Nusa Dua,restaurant,nusa-dua,"Jl. Gedong Sari II No.888, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",https://brookbali.com/,https://www.instagram.com/brook.restaurant/,,,,,,,,,,
piasan-nusa-dua-restaurant-piasan-restaurant,Piasan Nusa Dua Restaurant Piasan Restaurant,restaurant,nusa-dua,"BTDC Area, Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://piasanrestaurant.com/,https://www.instagram.com/piasanrestaurant/,,,,,,,,,,
signa-cafe,Signa Cafe,cafe,nusa-dua,"Jl. Dharmawangsa Jl. Raya Kampial, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://signa.cafe/,https://www.instagram.com/signa.cafe/,,,,,,,,,,
tsune-japanese-restaurant-sanur-by-wonderspace,Tsune Japanese Restaurant Sanur by Wonderspace,restaurant,sanur,"Jl. Aruna No.8A, Sanur Kaja, Denpasar Selatan, Denpasar City, Bali 80237, Indonesia",https://thewonderspace.com/tsunesanur/,,,,,,,,,,,
bistro-anwa,Bistro Anwa,restaurant,seminyak,"Jl. Umalas Tunon No.23A, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://www.anwabali.com/dining,https://www.instagram.com/bistroanwa/,,,,,,,,,,
izzi-rooftop-lounge-and-restaurant-and-bar-and-shisha,IZZI ROOFTOP LOUNGE & RESTAURANT & BAR & SHISHA,restaurant,seminyak,"Jl. Batu Belig No.38, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://izzibali.com/,https://www.instagram.com/izzi_bali/,,,,,,,,,,
norii-japanese-restaurant-seminyak,Norii Japanese Restaurant — Seminyak,restaurant,seminyak,"Jl. Umalas Lestari, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://thewonderspace.com/noriiumalas,https://www.instagram.com/noriibali/,,,,,,,,,,
shichirin-japanese-restaurant-seminyak,Shichirin Japanese Restaurant — Seminyak,restaurant,seminyak,"Jl. Dewi Saraswati No.88 A, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://thewonderspace.com/shichirinseminyak/,https://www.instagram.com/shichirincanggu/,,,,,,,,,,
to-the-moon-cafe,To the moon cafe,cafe,seminyak,"Jl. Bumbak, Banjar Anyar, Kerobokan Kelod, Umalas, Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/tothemoon.cafe.bali/,,,,,,,,,,
cemara-point-by-dusun-bedugul-asri,Cemara Point by Dusun Bedugul Asri,restaurant,tabanan,"Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia",https://www.dusunbedugulasri.com/,https://www.instagram.com/dusunbedugul_asri/,,,,,,,,,,
ankhusa-restaurant-ubud-by-wonderspace,Ankhusa Restaurant Ubud by Wonderspace,restaurant,ubud,"Jl. Raya Desa Kenderan No.88 A, Kenderan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://thewonderspace.com/ankhusabali/,https://www.instagram.com/ankhusabali/,,,,,,,,,,
brie-restaurant-and-cheesery,Brie Restaurant & Cheesery,restaurant,ubud,"Jl. Penestanan Kelod, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",https://brie.chaika.team/,https://www.instagram.com/brie.bali/,,,,,,,,,,
cantina-classe-ubud,Cantina Classe — Ubud,restaurant,ubud,"Jl. Drupadi, Melinggih, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",https://thewonderspace.com/cantinaubud/,https://www.instagram.com/cantinaclasse/,,,,,,,,,,
habitat-bistro,Habitat Bistro,restaurant,ubud,"Jl. Bisma No.888A, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://thewonderspace.com/habitatbistroubud/,https://www.instagram.com/habitatbistroubud/,,,,,,,,,,
jungle-flower-restaurant,Jungle Flower Restaurant,restaurant,ubud,"C7H7+QX3, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80582, Indonesia",,https://www.instagram.com/jungleflowerrestaurant/,,,,,,,,,,
kojin-teppanyaki-restaurant-ubud-by-wonderspace,Kojin Teppanyaki Restaurant Ubud by Wonderspace,restaurant,ubud,"Jl. Raya Desa Kenderan No.88A, Kenderan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://thewonderspace.com/kojinbali/,https://www.instagram.com/kojinbali/,sushi,,,,,,,,,
la-portal-to-shamballah,La Portal to Shamballah,restaurant,ubud,"Peliatan, Ubud, Gianyar Regency, Bali 80571, Indonesia",https://www.laportaltoshamballah.com/,https://www.instagram.com/laportal.shamballah.ubud/,,,,,,,,,,
mamu-ubud-cafe-shisha-hookah,MAMU Ubud Cafe Shisha Hookah,cafe,ubud,"Jl. Made Lebah, Mas, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",,https://www.instagram.com/mamu_bali/,,,,,,,,,,
norii-japanese-restaurant-ubud,Norii Japanese Restaurant — Ubud,restaurant,ubud,"Jl. Sawah Indah Gang Amarea No.8, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://thewonderspace.com/noriiubud/,https://www.instagram.com/noriibali/,,,,,,,,,,
seven-paintings-ubud-restaurant,Seven Paintings Ubud Restaurant,restaurant,ubud,"Jl. Bisma No.888A, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://sevenpaintingsubud.com/,,,,,,,,,,,
shichirin-japanese-restaurant-ubud,Shichirin Japanese Restaurant — Ubud,restaurant,ubud,"Jl. Bisma No.888A, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",http://thewonderspace.com/shichirinubud/,https://www.instagram.com/shichirincanggu/,,,,,,,,,,
the-jungle-club-ubud-by-wonderspace,The Jungle Club Ubud by Wonderspace,restaurant,ubud,"Jl. Jaga Raga No.8A, Celuk, Ubud, Gianyar Regency, Bali 80582, Indonesia",http://jungleclububud.com/,https://www.instagram.com/jungleclububud/,,,,,,,,,,
ants-pants-uluwatu,Ants Pants Uluwatu,restaurant,uluwatu-bukit,"Family Nest Experience Villas, Jl. Labuansait / Jl. Pantai Cemongkak, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://antspantsbali.com/,https://www.instagram.com/antspants.uluwatu/,,,,,,,,,,
dewas-landing-cafe,Dewas Landing Cafe,cafe,uluwatu-bukit,"Jl. Raya Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/dewaslanding.cafe/,,,,,,,,,,
gains,GAINS,restaurant,uluwatu-bukit,"54Q9+W93, Jl. Buana Sari, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/gainsuluwatu/,,,,,,,,,,
humans-cafe,HUMANS CAFE,cafe,uluwatu-bukit,"55J6+93R, Jl. Bali Cliff, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",http://humansbali.com/,https://www.instagram.com/humans.bali/,,,,,,,,,,
la-terrazza-uluwatu,La Terrazza Uluwatu,restaurant,uluwatu-bukit,"53MQ+VFW, Jl. Pantai Suluban / Jl. Labuansait, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://www.laterrazzauluwatu.com/,https://www.instagram.com/laterrazza_uluwatu_bali/,,,,,,,,,,
lemanja-uluwatu,Lemanjá Uluwatu,restaurant,uluwatu-bukit,"Jl. Labuansait No.168, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",https://www.lemanjabali.com/,https://www.instagram.com/lemanjabali/,,,,,,,,,,
made-s-bakery-cafe-playground,Made’s Bakery Cafe Playground,cafe,uluwatu-bukit,"Jl. Dharmawangsa No.85, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/mades_bakery_/,,,,,,,,,,
pak-gula,PAK GULA,restaurant,uluwatu-bukit,"Jl. Pantai Bingin No.05, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/pak.g.bingin/,chicken satay,,,,,,,,,
rotisserie-by-cashew-tree,Rotisserie by Cashew Tree,restaurant,uluwatu-bukit,"Jl. Bangbang Metuug No.3, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/rotisserie.cashewtree/,burger,,,,,,,,,
snowcat-bali-ussr-cuisine,Snowcat Bali USSR Cuisine,restaurant,uluwatu-bukit,"Jl. Raya Uluwatu No.93, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/snowcatbali/,,,,,,,,,,
ula-cafe,Ula Cafe,cafe,uluwatu-bukit,"Jl. Pantai Balangan, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",http://ulabali.com/,https://www.instagram.com/ula_bali/,,,,,,,,,,
white-water-bingin,White Water — Bingin,restaurant,uluwatu-bukit,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",,https://www.instagram.com/whitewater.bali/,,,,,,,,,,
