venue_slug,venue_id,original_photo_url,proposed_photo_url,rollback_sql,rollback_required
warung-bu-mi,v_warung-bu-mi,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/warung-bu-mi/28556fda3ce0517ad205.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/warung-bu-mi/28556fda3ce0517ad205.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/warung-bu-mi/28556fda3ce0517ad205.jpg' WHERE id = 'v_warung-bu-mi';,YES
the-shala-bali,3db91038-1d4f-4c3c-b92f-070727d3654d,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shala-bali/31646a0827e1c76b0f0e.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/the-shala-bali/31646a0827e1c76b0f0e.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/the-shala-bali/31646a0827e1c76b0f0e.jpg' WHERE id = '3db91038-1d4f-4c3c-b92f-070727d3654d';,YES
cafe-del-mar-bali,v_import_cafe_del_mar_bali,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/cafe-del-mar-bali/7f91e6c8fceb393230e0.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/cafe-del-mar-bali/7f91e6c8fceb393230e0.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/cafe-del-mar-bali/7f91e6c8fceb393230e0.webp' WHERE id = 'v_import_cafe_del_mar_bali';,YES
sang-spa,1ac1a933-171c-4835-a62c-e3864adf60be,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/sang-spa/0914813ee291105aea7a.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/sang-spa/0914813ee291105aea7a.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/sang-spa/0914813ee291105aea7a.jpg' WHERE id = '1ac1a933-171c-4835-a62c-e3864adf60be';,YES
brunch-club-pererenan,v_import_brunch_club_pererenan,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/brunch-club-pererenan/cee4d27a65d92fa9c2cf.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/brunch-club-pererenan/cee4d27a65d92fa9c2cf.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/brunch-club-pererenan/cee4d27a65d92fa9c2cf.jpg' WHERE id = 'v_import_brunch_club_pererenan';,YES
bottega-italiana,v_bottega-italiana,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/bottega-italiana/cb1292a73a931722e606.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/bottega-italiana/cb1292a73a931722e606.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/bottega-italiana/cb1292a73a931722e606.webp' WHERE id = 'v_bottega-italiana';,YES
jaens-spa,ed4c1bfb-8638-4df8-9735-46039ec5a4a2,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/jaens-spa/ffe0b22cfe8d24a0f3c5.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/jaens-spa/ffe0b22cfe8d24a0f3c5.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/jaens-spa/ffe0b22cfe8d24a0f3c5.webp' WHERE id = 'ed4c1bfb-8638-4df8-9735-46039ec5a4a2';,YES
bali-botanica-spa,d65a22f4-a3e3-4788-b93d-23f3d35aa566,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/bali-botanica-spa/2b0dcf76308691297d29.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/bali-botanica-spa/2b0dcf76308691297d29.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/bali-botanica-spa/2b0dcf76308691297d29.jpg' WHERE id = 'd65a22f4-a3e3-4788-b93d-23f3d35aa566';,YES
shelter-restaurant,v_import_shelter_restaurant,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/shelter-restaurant/639b46b607a26a14f2da.webp,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/shelter-restaurant/639b46b607a26a14f2da.webp,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/shelter-restaurant/639b46b607a26a14f2da.webp' WHERE id = 'v_import_shelter_restaurant';,YES
riviera-trattoria-pererenan,v_import_riviera_trattoria_pererenan,https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/riviera-trattoria-pererenan/5a1e0d0f286d83da97b4.jpg,https://egkdapqwkfprtyqvvnso.supabase.co/storage/v1/object/public/venue-photos/draft/riviera-trattoria-pererenan/5a1e0d0f286d83da97b4.jpg,UPDATE public.venues SET photo_url = 'https://xvhxyohqkkpaynrgrvvb.supabase.co/storage/v1/object/public/venue-photos/draft/riviera-trattoria-pererenan/5a1e0d0f286d83da97b4.jpg' WHERE id = 'v_import_riviera_trattoria_pererenan';,YES
