venue_id,venue_name,source_url,source_tier,date_crawled
obs-3135ac63bd,OKANA Spa,https://mycurlyadventures.com/okana-spa-okc-everything-you-need-to-know-our-experience,official_site,2026-08-25T01:39:11+00:00
obs-3135ac63bd,OKANA Spa,https://mycurlyadventures.com/pampering-perfection-at-the-winstar-spa-a-detailed-review,official_site,2026-08-25T01:39:11+00:00
obs-3135ac63bd,OKANA Spa,https://mycurlyadventures.com/ultimate-relaxation-at-winstar-spa-day-pass,official_site,2026-08-25T01:39:11+00:00
obs-6edec51c72,Putu Bali Spa Home Care,https://putubalispahomecare.com/Aromatherapy-Massage-Bali,official_site,2026-08-25T01:39:11+00:00
obs-6edec51c72,Putu Bali Spa Home Care,https://putubalispahomecare.com/Foot-Massage-Bali,official_site,2026-08-25T01:39:11+00:00
obs-7386f9047b,Soori Spa,https://www.sooribali.com/contact,official_site,2026-08-25T01:39:11+00:00
obs-7386f9047b,Soori Spa,https://www.sooribali.com/spa,official_site,2026-08-25T01:39:11+00:00
obs-b2314678a8,LKP Tirtasari Spa,https://www.lkptirtasarispa.com,official_site,2026-08-25T01:39:11+00:00
obs-b2314678a8,LKP Tirtasari Spa,https://www.lkptirtasarispa.com/,official_site,2026-08-25T01:39:11+00:00
obs-29a7ecae3e,Suenyo Eco Retreat,https://suenyo-bali.com/wellness,official_site,2026-08-25T01:39:11+00:00
obs-29a7ecae3e,Suenyo Eco Retreat,https://suenyo-bali.com/wellness/,official_site,2026-08-25T01:39:11+00:00
obs-af92bdc472,Bali Reflexology,https://bali-reflexology.com,official_site,2026-08-25T01:39:11+00:00
obs-af92bdc472,Bali Reflexology,https://bali-reflexology.com/,official_site,2026-08-25T01:39:11+00:00
obs-e905de403d,The Udaya Resorts & Spa,https://kaverispa.theudayaresort.com/treatments.php,official_site,2026-08-25T01:39:11+00:00
obs-e905de403d,The Udaya Resorts & Spa,https://theudayaresort.com/,official_site,2026-08-25T01:39:11+00:00
obs-5f24cb935c,tlaga spa,https://tlagaspabali.com/,official_site,2026-08-25T01:39:11+00:00
obs-5f24cb935c,tlaga spa,https://tlagaspabali.com/spa-treatments/tlaga-stress-relief-massage-60-minutes,official_site,2026-08-25T01:39:11+00:00
